Player,Club,Nationality,Birthday
Shane Duffy,Brighton,Irish,1900-01-01
Jonny Evans,West Brom,Northern Irish,1900-01-02
James Milner,Liverpool,English,1900-01-04
Toni Kroos,Real Madrid,German,1900-01-04
Andy Carroll,West Ham,English,1900-01-06
Eden Hazard,Chelsea,Belgian,1900-01-07
Jan Oblak,Atletico Madrid,Slovenian,1900-01-07
Stefan Savic,Atletico Madrid,Montenegrin,1900-01-08
Koke,Atletico Madrid,Spanish,1900-01-08
David Silva,Manchester City,Spanish,1900-01-08
Lucas Leiva,Lazio,Brazilian,1900-01-09
Christian Atsu,Newcastle,Ghanaian,1900-01-10
Leroy Sane,Man City,German,1900-01-11
Dani Carvajal,Real Madrid,Spanish,1900-01-11
Axel Witsel,Tianjin Quanjian,Belgian,1900-01-12
Emre Can,Liverpool,German,1900-01-12
Glenn Whelan,Stoke City,Irish,1900-01-13
Yohan Cabaye,Crystal Palace,French,1900-01-14
Nicklas Bendtner,Rosenborg,Danish,1900-01-16
Claudio Marchisio,Juventus,Italian,1900-01-19
Henrik Mkhitaryan,Arsenal,Armenian,1900-01-21
Shane Long,Southampton,Irish,1900-01-22
Arjen Robben,Bayern Munich,Dutch,1900-01-23
Luis Suárez,Barcelona,Uruguayan,1900-01-24
Xavi,Al Sadd SC,Spanish,1900-01-25
David Ginola,Retired,French,1900-01-25
Gianluigi Buffon,Juventus,Italian,1900-01-28
Grzegorz Krychowiak,Polish,West Brom,1900-01-29
Romario,Retired,Brazilian,1900-01-29
Arda Turan,Istanbul Basaksehir,Turkish,1900-01-30
Peter Crouch,Stoke City,English,1900-01-30
Dimitar Berbatov,Kerala Blasters FC,Bulgarian,1900-01-30
Giuseppe Rossi,Genoa,Italian,1900-02-01
Darren Fletcher,Stoke City,Scottish,1900-02-01
Ivan Perisic,Inter,Croatian,1900-02-02
Gerard Pique,Barcelona,Spanish,1900-02-02
Carlos Tevez,Boca Juniors,Argentinian,1900-02-05
Cristiano Ronaldo,Real Madrid,Portuguese,1900-02-05
Neymar,PSG,Brazilian,1900-02-05
Radamel Falcao,Monaco,Colombian,1900-02-10
Edinson Cavani,PSG,Uruguayan,1900-02-14
Ángel Di María,PSG,Argentinian,1900-02-14
Christian Eriksen,Tottenham,Danish,1900-02-14
Rui Patricio,Sporting,Portuguese,1900-02-15
Diego Godín,Atletico Madrid,Uruguayan,1900-02-16
Claude Makélélé,Eupen (coach),French,1900-02-18
Gary Neville,Retired,English,1900-02-18
Mauro Icardi,Inter,Argentinian,1900-02-19
Phil Jones,Man Utd,English,1900-02-21
Riyad Mahrez,Leicester City,Algerian,1900-02-21
Branislav Ivanović,Zenit,Serbian,1900-02-22
Gareth Barry,West Brom,English,1900-02-23
Casemiro,Real Madrid,Brazilian,1900-02-23
Park Ji-Sung,Man Utd (ambassador),South Korean,1900-02-25
Emmanuel Adebayor,Istanbul Basaksehir,Togolese,1900-02-26
Pepe,Real Madrid,Portuguese,1900-02-26
Fernando Llorente,Tottenham,Spanish,1900-02-26
Toby Alderweireld,Tottenham,Belgian,1900-03-02
Zico,Retired,Brazilian,1900-03-03
Landon Donovan,Club León,American,1900-03-04
Clint Dempsey,Seattle Sounders,American,1900-03-09
Jack Butland,Stoke City,English,1900-03-10
Lassana Diarra,PSG,French,1900-03-10
Ivan Rakitic,Barcelona,Croatian,1900-03-10
Didier Drogba,Phoenix Rising (owner),Ivorian,1900-03-11
Edgar Davids,Retired,Dutch,1900-03-13
Paul Pogba,Man Utd,French,1900-03-15
Theo Walcott,Everton,English,1900-03-16
Edin Džeko,Roma,Bosnian,1900-03-17
Shinji Kagawa,Borussia Dortmund,Japanese,1900-03-17
Alessandro Nesta,Retired,Italian,1900-03-19
Kolo Toure,Retired,Ivorian,1900-03-19
Marcos Rojo,Man Utd,Argentinian,1900-03-20
Fernando Torres,Atletico Madrid,Spanish,1900-03-20
Antoine Griezmann,Atletico Madrid,French,1900-03-21
Jordi Alba,Barcelona,Spanish,1900-03-21
Ronaldinho,Retired,Brazilian,1900-03-21
Scott Sinclair,Celtic,English,1900-03-25
Erik Lamela,Tottenham,Argentinian,1900-03-25
Mikel Arteta,Man City (coach),Spanish,1900-03-26
Manuel Neuer,Bayern Munich,German,1900-03-27
Fabio Borini,AC Milan,Italian,1900-03-29
N'Golo Kante,Chelsea,French,1900-03-29
Sergio Ramos,Real Madrid,Spanish,1900-03-30
Miralem Pjanic,Juventus,Bosnian,1900-04-02
Gabriel Jesus,Man City,Brazilian,1900-04-03
Sami Khedira,Juventus,German,1900-04-04
Franck Ribery,Bayern Munich,French,1900-04-07
Vincent Kompany,Man City,Belgian,1900-04-10
Sadio Mane,Liverpool,Senegalese,1900-04-10
Thiago Alcântara,Bayern Munich,Spanish,1900-04-11
Dele Alli,Tottenham,English,1900-04-11
Carles Puyol,Retired,Spanish,1900-04-13
Aaron Lennon,Burnley,English,1900-04-16
Wojciech Szczesny,Juventus,Polish,1900-04-18
Joe Hart,West Ham,English,1900-04-19
Isco,Real Madrid,Spanish,1900-04-21
John Obi Mikel,Tianjin TEDA,Nigerian,1900-04-22
David Luiz,Chelsea,Brazilian,1900-04-22
Kaka,Retired,Brazilian,1900-04-22
Raphael Varane,Real Madrid,French,1900-04-25
Juan Mata,Man Utd,Spanish,1900-04-28
Marc-André ter Stegen,Barcelona,German,1900-04-30
Leonardo Bonucci,AC Milan,Italian,1900-05-01
David Beckham,Retired,English,1900-05-02
Cesc Fabregas,Chelsea,Spanish,1900-05-04
Fernandinho,Man City,Brazilian,1900-05-04
Radja Nainggolan,Roma,Belgian,1900-05-04
Dani Alves,PSG,Brazilian,1900-05-06
Andrea Barzagli,Juventus,Italian,1900-05-08
Kevin Gameiro,Atletico Madrid,French,1900-05-09
Dennis Bergkamp,Retired,Dutch,1900-05-10
Giovani dos Santos,La Galaxy,Mexican,1900-05-11
Andres Iniesta,Barcelona,Spanish,1900-05-11
Thibaut Courtois,Chelsea,Belgian,1900-05-11
Yaya Toure,Man City,Ivorian,1900-05-13
Romelu Lukaku,Man Utd,Belgian,1900-05-13
Marquinhos,PSG,Brazilian,1900-05-14
Patrice Evra,West Ham,French,1900-05-15
Ousmane Dembele,Barcelona,French,1900-05-15
Andrea Pirlo,Retired,Italian,1900-05-19
Iker Casillas,Porto,Spanish,1900-05-20
Petr Cech,Arsenal,Czech,1900-05-20
Mario Mandžukić,Juventus,Croatian,1900-05-21
Eric Cantona,Retired,French,1900-05-24
Paul Gascgoigne,Retired,English,1900-05-27
Kyle Walker,Man City,English,1900-05-28
Alexandre Lacazette,Arsenal,French,1900-05-28
Steven Gerrard,Retired,English,1900-05-30
Marco Reus,Borussia Dortmund,German,1900-05-31
Javier Hernandez,West Ham,Mexican,1900-06-01
Sergio Aguero,Man City,Argentinian,1900-06-02
Mario Gotze,Borussia Dortmund,German,1900-06-03
Lorenzo Insigne,Napoli,Italian,1900-06-04
Lukas Podolski,Lukas Podolski,German,1900-06-04
Javier Mascherano,Barcelona,Argentinian,1900-06-08
Wesley Sneijder,Qatar Stars League club Al-Gharafa,Dutch,1900-06-09
Miroslav Klose,Retired,German,1900-06-09
Philippe Coutinho,Barcelona,Brazilian,1900-06-12
Olivier Kahn,Retired,German,1900-06-15
Mohamed Salah,Liverpool,Egyptian,1900-06-15
Jordan Henderson,Liverpool,English,1900-06-17
Frank Lampard,Retired,English,1900-06-20
Juan Román Riquelme,Retired,Argentinian,1900-06-24
Lionel Messi,Barcelona,Argentinian,1900-06-24
Victor Wanyama,Tottenham,Kenyan,1900-06-25
Samir Nasri,Retired,French,1900-06-26
Kevin De Bruyne,Man City,Belgian,1900-06-28
Patrick Kluivert,Retired,Dutch,1900-07-01
Ruud van Nistelrooy,Retired,Dutch,1900-07-01
Gianfranco Zola,Retired,Italian,1900-07-05
Hernan Crespo,Retired,Argentinian,1900-07-05
Son Heung-Min,Tottenham,South Korean,1900-07-08
Robbie Keane,Retired,Irish,1900-07-08
Paolo Di Canio,Retired,Italian,1900-07-09
Ashley Young,Man Utd,English,1900-07-09
Mario Gomez,Stuttgart,Germany,1900-07-10
James Rodriguez,Bayern Munich,Colombian,1900-07-12
Craig Bellamy,Retired,Welsh,1900-07-13
Sergio Busquets,Barcelona,Spanish,1900-07-16
Gareth Bale,Real Madrid,Welsh,1900-07-16
Dirk Kuyt,Retired,Dutch,1900-07-22
Daniele De Rossi,Roma,Italian,1900-07-24
Hulk,Shanghai SIPG,Brazilian,1900-07-25
Michael Carrick,Man Utd,English,1900-07-28
Jürgen Klinsmann,Retired,Germany,1900-07-30
Bastian Schweinsteiger,Chicago Fire,German,1900-08-01
Nemanja Matic,Chelsea,Serbian,1900-08-01
Antonio Valencia,Man Utd,Ecuadorian,1900-08-04
Robin van Persie,Feyenoord,Dutch,1900-08-06
Willian,Chelsea,Brazilian,1900-08-09
Roy Keane,Retired,Irish,1900-08-10
Javier Zanetti,Retired,Argentinian,1900-08-10
Klaas Jan Huntelaar,Ajax,Dutch,1900-08-12
Lucas Moura,Tottenham,Brazilian,1900-08-13
Alan Shearer,Retired,English,1900-08-13
Jay-Jay Okocha,Retired,Nigerian,1900-08-14
Ander Herrera,Man Utd,Spanish,1900-08-14
Giorgio Chiellini,Juventus,Italian,1900-08-14
Alex Oxlade-Chamberlain,Liverpool,English,1900-08-15
Thierry Henry,Retired,French,1900-08-17
Mario Balotelli,Nice,Italian,1900-08-21
Robert Lewandowski,Bayern Munich,Polish,1900-08-21
Ashley Williams,Everton,Welsh,1900-08-23
Thiago Motta,PSG,Brazilian,1900-08-28
César Azpilicueta,Chelsea,Spanish,1900-08-28
Pepe Reina,Napoli,Spanish,1900-08-31
Ruud Gullit,Retired,Dutch,1900-09-01
Daniel Sturridge,West Brom,English,1900-09-01
Joey Barton,Retired,English,1900-09-02
Alexandre Pato,Tianjin Quanjian,Brazilian,1900-09-02
Júlio César,Flamengo,Brazilian,1900-09-03
Nuri Sahin,Borussia Dortmund,Turkish,1900-09-05
Gylfi Sigurdsson,Everton,Icelandic,1900-09-08
Luka Modric,Real Madrid,Croatian,1900-09-09
Alex Song,Rubin Kazan,Cameroonian,1900-09-09
Laurent Koscielny,Arsenal,French,1900-09-10
Éric Abidal,Retired,French,1900-09-11
Franz Beckenbauer,Retired,German,1900-09-11
Thomas Muller,Bayern Munich,German,1900-09-13
Eidur Gudjohnsen,Retired,Icelandic,1900-09-15
Ronaldo,Retired,Brazilian,1900-09-18
David Seaman,Retired,English,1900-09-19
Henrik Larsson,Retired,Swedish,1900-09-20
Thiago Silva,PSG,Brazilian,1900-09-22
Michael Ballack,Retired,German,1900-09-26
Granit Xhaka,Arsenal,Swiss,1900-09-27
Andriy Shevchenko,Retired,Ukrainian,1900-09-29
Per Mertesacker,Arsenal,German,1900-09-29
Olivier Giroud,Chelsea,French,1900-09-30
George Weah,Retired,Liberian,1900-10-01
Roberto Firmino,Liverpool,Brazilian,1900-10-02
Zlatan Ibrahimovic,Man Utd,Swedish,1900-10-03
Bruce Grobbelaar,Retired,Zimbabwean,1900-10-06
Jermain Defoe,Bournemouth,English,1900-10-07
Gilberto Silva,Retired,Brazilian,1900-10-07
Xherdan Shaqiri,Stoke City,Swiss,1900-10-10
Ledley King,Retired,English,1900-10-12
Antonio di Natale,Retired,Italian,1900-10-13
Mesut Ozil,Arsenal,German,1900-10-15
Paul Ince,Retired,English,1900-10-21
Nemanja Vidic,Retired,Serbian,1900-10-21
Pele,Retired,Brazilian,1900-10-23
Alvaro Morata,Chelsea,Spanish,1900-10-23
Wayne Rooney,Everton,English,1900-10-24
İlkay Gundogan,Man City,German,1900-10-24
Robert Pirès,Retired,French,1900-10-29
Edwin van der Sar,Retired,Dutch,1900-10-29
Diego Maradona,Retired,Argentinian,1900-10-30
Denis Irwin,Retired,Irish,1900-10-31
Marcus Rashford,Man Utd,English,1900-10-31
Ian Wright,Retired,English,1900-11-03
Marco Verratti,PSG,Italian,1900-11-05
Kasper Schmeichel,Leicester City,Danish,1900-11-05
Jozy Altidore,Toronto FC,American,1900-11-06
Andre Schurrle,Borussia Dortmund,German,1900-11-06
David De Gea,Man Utd,Spanish,1900-11-07
Rio Ferdinand,Retired,English,1900-11-07
John Barnes,Retired,English,1900-11-07
Joe Cole,Tampa Bay Rowdies,English,1900-11-08
Jens Lehmann,Retired,German,1900-11-10
Philipp Lahm,Retired,German,1900-11-11
Thomas Vermaelen,Barcelona,Belgian,1900-11-14
Thomas Vermaelen,Barcelona,French,1900-11-14
Paulo Dybala,Juventus,Argentinian,1900-11-15
Paul Scholes,Retired,English,1900-11-16
Nani,Lazio,Portuguese,1900-11-17
Peter Schmeichel,Retired,Danish,1900-11-18
Laurent Blanc,Retired,French,1900-11-19
Jesús Navas,Sevilla,Spanish,1900-11-21
Marco Asensio,Real Madrid,Spanish,1900-11-21
Marouane Fellaini,Man Utd,Belgian,1900-11-22
Xabi Alonso,Retired,Spanish,1900-11-25
Danny Welbeck,Arsenal,English,1900-11-26
Ryan Giggs,Retired,Welsh,1900-11-29
Gary Lineker,Retired,English,1900-11-30
Nigel de Jong,Mainz,Dutch,1900-11-30
Michael Essien,Retired,Ghanaian,1900-12-03
Ross Barkley,Chelsea,English,1900-12-05
Anthony Martial,Man Utd,French,1900-12-05
Tim Cahill,Millwall,Australian,1900-12-06
John Terry,Aston Villa,English,1900-12-07
Raheem Sterling,Man City,English,1900-12-08
Gonzalo Higuain,Juventus,Argentinian,1900-12-10
Leighton Baines,Everton,English,1900-12-11
Victor Moses,Chelsea,Nigerian,1900-12-12
Santi Cazorla,Arsenal,Spanish,1900-12-13
Michael Owen,Retired,English,1900-12-14
Keylor Navas,Real Madrid,Costa Rican,1900-12-15
Mats Hummels,Bayern Munich,German,1900-12-16
Alexis Sanchez,Man Utd,Chilean,1900-12-19
Gary Cahill,Chelsea,English,1900-12-19
Karim Benzema,Real Madrid,French,1900-12-19
Ashley Cole,LA Galaxy,English,1900-12-20
Jorginho,Napoli,Italian,1900-12-20
Kylian Mbappe,PSG,French,1900-12-20
Aaron Ramsey,Arsenal,Welsh,1900-12-26
Hugo Lloris,Tottenham,French,1900-12-26
Marcos Alonso,Chelsea,Spanish,1900-12-28
Sir Alex Ferguson,Retired,Scottish,1900-12-31
